sample	tissue	nucl	subject	pool_id	part	side	rpm	rpm_ratio
FC57_KID_R_RNA	Kidney	RNA	0122	11		R	1561.2742857142855	1.0318257142857143
FC57_KID_R_RNA	Kidney	RNA	0122	12		R	1375.8142857142857	1.062562857142857
FC57_KID_R_RNA	Kidney	RNA	0122	13		R	966.7171428571428	0.6428171428571429
FC57_KID_R_RNA	Kidney	RNA	0122	14		R	1515.7514285714287	1.6629142857142856
FC57_KID_R_RNA	Kidney	RNA	0122	15		R	525.0885714285713	0.646622857142857
FC57_KID_R_RNA	Kidney	RNA	0122	16		R	1473.8942857142854	1.1070371428571424
FC57_KID_R_RNA	Kidney	RNA	0122	18		R	1111.84	0.826682857142857
FC57_LIV_1218_RNA	Liver	RNA	1218	1			2597.0171428571425	1.9901714285714287
FC57_LIV_1218_RNA	Liver	RNA	1218	2			839.4114285714286	0.5712485714285714
FC57_LIV_1218_RNA	Liver	RNA	1218	3			1092.742857142857	0.8479714285714288
FC57_LIV_1218_RNA	Liver	RNA	1218	4			1216.5714285714282	1.3371514285714288
FC57_LIV_1218_RNA	Liver	RNA	1218	5			736.7485714285714	0.8175114285714284
FC57_LIV_1218_RNA	Liver	RNA	1218	6			1190.0514285714285	0.967822857142857
FC57_LIV_1218_RNA	Liver	RNA	1218	7			324.36742857142855	0.30516857142857134
FC57_LIV_1218_RNA	Liver	RNA	1218	8			1059.6742857142856	0.8742457142857142
FC57_LIV_1218_RNA	Liver	RNA	1218	9			345.1062857142857	0.26544285714285715
FC57_LIV_1218_RNA	Liver	RNA	1218	10			924.3971428571427	0.5923714285714284
FC57_LIV_1218_RNA	Liver	RNA	1218	11			2573.045714285714	1.6738
FC57_LIV_1218_RNA	Liver	RNA	1218	12			875.9742857142855	0.6790228571428572
FC57_LIV_1218_RNA	Liver	RNA	1218	13			581.0399999999998	0.38971428571428574
FC57_LIV_1218_RNA	Liver	RNA	1218	14			542.7228571428573	0.58972
FC57_LIV_1218_RNA	Liver	RNA	1218	15			1000.0857142857143	1.2536514285714289
FC57_LIV_1218_RNA	Liver	RNA	1218	16			777.8542857142857	0.5986428571428571
FC57_LIV_1218_RNA	Liver	RNA	1218	18			3679.0285714285715	2.7333714285714286
FC57_LU_1218_RNA	Lung	RNA	1218	1			883.1171428571429	0.6865114285714286
FC57_LU_1218_RNA	Lung	RNA	1218	2			1464.237142857143	1.0100571428571428
FC57_LU_1218_RNA	Lung	RNA	1218	3			1285.225714285714	1.00868
FC57_LU_1218_RNA	Lung	RNA	1218	4			1067.3514285714284	1.1710914285714284
FC57_LU_1218_RNA	Lung	RNA	1218	5			633.4742857142857	0.6935857142857144
FC57_LU_1218_RNA	Lung	RNA	1218	6			1782.1257142857146	1.4777142857142858
FC57_LU_1218_RNA	Lung	RNA	1218	7			1324.3600000000001	1.2680828571428566
FC57_LU_1218_RNA	Lung	RNA	1218	8			2084.24	1.6940857142857144
FC57_LU_1218_RNA	Lung	RNA	1218	9			1468.557142857143	1.1323257142857142
FC57_LU_1218_RNA	Lung	RNA	1218	10			1479.3485714285716	0.9568742857142857
FC57_LU_1218_RNA	Lung	RNA	1218	11			1803.062857142857	1.20294
FC57_LU_1218_RNA	Lung	RNA	1218	12			1720.5771428571427	1.3327771428571429
FC57_LU_1218_RNA	Lung	RNA	1218	13			339.6285714285714	0.23122285714285715
FC57_LU_1218_RNA	Lung	RNA	1218	14			889.4571428571429	0.9770285714285716
FC57_LU_1218_RNA	Lung	RNA	1218	15			692.4114285714285	0.8811199999999998
FC57_LU_1218_RNA	Lung	RNA	1218	16			1439.5628571428572	1.092477142857143
FC57_LU_1218_RNA	Lung	RNA	1218	18			318.52857142857124	0.24788571428571435
FC57_LU_L_RNA	Lung	RNA	0122	1		L	1621.3485714285714	1.2466285714285712
FC57_LU_L_RNA	Lung	RNA	0122	2		L	1591.1799999999998	1.14592
FC57_LU_L_RNA	Lung	RNA	0122	3		L	1200.6399999999999	0.9347399999999999
FC57_LU_L_RNA	Lung	RNA	0122	4		L	891.0371428571428	0.97812
FC57_LU_L_RNA	Lung	RNA	0122	5		L	439.163142857143	0.47288828571428565
FC57_LU_L_RNA	Lung	RNA	0122	6		L	1768.6685714285716	1.4551114285714286
FC57_LU_L_RNA	Lung	RNA	0122	7		L	903.2085714285714	0.8934114285714287
FC57_LU_L_RNA	Lung	RNA	0122	8		L	1406.1000000000001	1.1371971428571428
FC57_LU_L_RNA	Lung	RNA	0122	9		L	1766.6714285714286	1.3896571428571427
FC57_LU_L_RNA	Lung	RNA	0122	10		L	850.0714285714286	0.5514885714285714
FC57_LU_L_RNA	Lung	RNA	0122	11		L	1253.9799999999998	0.8217000000000002
FC57_LU_L_RNA	Lung	RNA	0122	12		L	1780.1514285714284	1.4159085714285715
FC57_LU_L_RNA	Lung	RNA	0122	13		L	1145.6028571428571	0.7698971428571427
FC57_LU_L_RNA	Lung	RNA	0122	14		L	1607.52	1.7656857142857145
FC57_LU_L_RNA	Lung	RNA	0122	15		L	493.66857142857134	0.5828942857142856
FC57_LU_L_RNA	Lung	RNA	0122	16		L	1610.8200000000002	1.2168742857142858
FC57_LU_L_RNA	Lung	RNA	0122	18		L	421.3805714285715	0.2993948571428572
