sample	tissue	nucl	subject	pool_id	rpm	rpm_ratio
M135_GON_RNA	THY	RNA	M148	9		
M135_GON_RNA	THY	RNA	M148	10		
M135_GON_RNA	THY	RNA	M148	11		
M135_GON_RNA	THY	RNA	M148	12		
M135_GON_RNA	THY	RNA	M148	13		
M135_GON_RNA	THY	RNA	M148	14		
M135_GON_RNA	THY	RNA	M148	15		
M135_GON_RNA	THY	RNA	M148	16		
M135_GON_RNA	THY	RNA	M148	18		
M135_GON_RNA	THY	RNA	M355	1		
M135_GON_RNA	THY	RNA	M355	2		
M135_GON_RNA	THY	RNA	M355	3		
M135_GON_RNA	THY	RNA	M355	4		
M135_GON_RNA	THY	RNA	M355	5		
M135_GON_RNA	THY	RNA	M355	6		
M135_GON_RNA	THY	RNA	M355	7		
M135_GON_RNA	THY	RNA	M355	8		
M135_GON_RNA	THY	RNA	M355	9		
M135_GON_RNA	THY	RNA	M355	10		
M135_GON_RNA	THY	RNA	M355	11		
M135_GON_RNA	THY	RNA	M355	12		
M135_GON_RNA	THY	RNA	M355	13		
M135_GON_RNA	THY	RNA	M355	14		
M135_GON_RNA	THY	RNA	M355	15		
M135_GON_RNA	THY	RNA	M355	16		
M135_GON_RNA	THY	RNA	M355	18		
M135_KID_RNA	GON	RNA	M135	1		
M135_KID_RNA	GON	RNA	M135	2		
M135_KID_RNA	GON	RNA	M135	3		
M135_KID_RNA	GON	RNA	M135	4		
M135_KID_RNA	GON	RNA	M135	5		
M135_KID_RNA	GON	RNA	M135	6		
M135_KID_RNA	GON	RNA	M135	7		
M135_KID_RNA	GON	RNA	M135	8		
M135_KID_RNA	GON	RNA	M135	9		
M135_KID_RNA	GON	RNA	M135	10		
M135_KID_RNA	GON	RNA	M135	11		
M135_KID_RNA	GON	RNA	M135	12		
M135_KID_RNA	GON	RNA	M135	13		
M135_KID_RNA	GON	RNA	M135	14		
M135_KID_RNA	GON	RNA	M135	15		
M135_KID_RNA	GON	RNA	M135	16		
M135_KID_RNA	GON	RNA	M135	18		
M135_KID_RNA	GON	RNA	M148	1		
M135_KID_RNA	GON	RNA	M148	2		
M135_KID_RNA	GON	RNA	M148	3		
M135_KID_RNA	GON	RNA	M148	4		
M135_KID_RNA	GON	RNA	M148	5		
M135_KID_RNA	GON	RNA	M148	6		
M135_KID_RNA	GON	RNA	M148	7		
M135_KID_RNA	GON	RNA	M148	8		
M135_KID_RNA	GON	RNA	M148	9		
M135_KID_RNA	GON	RNA	M148	10		
M135_KID_RNA	GON	RNA	M148	11		
M135_KID_RNA	GON	RNA	M148	12		
M135_KID_RNA	GON	RNA	M148	13		
M135_KID_RNA	GON	RNA	M148	14		
M135_KID_RNA	GON	RNA	M148	15		
M135_KID_RNA	GON	RNA	M148	16		
M135_KID_RNA	GON	RNA	M148	18		
M135_KID_RNA	GON	RNA	M355	1		
M135_KID_RNA	GON	RNA	M355	2		
M135_KID_RNA	GON	RNA	M355	3		
M135_KID_RNA	GON	RNA	M355	4		
M135_KID_RNA	GON	RNA	M355	5		
M135_KID_RNA	GON	RNA	M355	6		
M135_KID_RNA	GON	RNA	M355	7		
M135_KID_RNA	GON	RNA	M355	8		
M135_KID_RNA	GON	RNA	M355	9		
M135_KID_RNA	GON	RNA	M355	10		
M135_KID_RNA	GON	RNA	M355	11		
M135_KID_RNA	GON	RNA	M355	12		
M135_KID_RNA	GON	RNA	M355	13		
M135_KID_RNA	GON	RNA	M355	14		
M135_KID_RNA	GON	RNA	M355	15		
M135_KID_RNA	GON	RNA	M355	16		
M135_KID_RNA	GON	RNA	M355	18		
M135_KID_RNA	KID	RNA	M135	1	2773.894285714286	2.010657142857143
M135_KID_RNA	KID	RNA	M135	2	1362.86	1.0088571428571427
M135_KID_RNA	KID	RNA	M135	3	1058.4371428571428	0.8226771428571427
M135_KID_RNA	KID	RNA	M135	4	1146.037142857143	1.3678885714285713
M135_KID_RNA	KID	RNA	M135	5	708.8542857142857	0.8613971428571426
M135_KID_RNA	KID	RNA	M135	6	1007.6971428571429	0.8926228571428573
M135_KID_RNA	KID	RNA	M135	7	454.4414285714286	0.48506999999999995
M135_KID_RNA	KID	RNA	M135	8	1452.962857142857	1.2542942857142851
M135_KID_RNA	KID	RNA	M135	9	399.84514285714283	0.2795945714285714
M135_KID_RNA	KID	RNA	M135	10	1914.857142857143	1.2748714285714282
M135_KID_RNA	KID	RNA	M135	11	1650.6171428571429	1.2183942857142858
M135_KID_RNA	KID	RNA	M135	12	1461.2514285714287	1.1715742857142857
M135_KID_RNA	KID	RNA	M135	13	2074.7657142857142	1.5921200000000004
M135_KID_RNA	KID	RNA	M135	14	1178.8257142857144	1.4015200000000005
M135_KID_RNA	KID	RNA	M135	15	0.0	0.0
M135_KID_RNA	KID	RNA	M135	16	447.6391428571429	0.35147057142857135
M135_KID_RNA	KID	RNA	M135	18	992.0028571428574	0.6543628571428571
M135_KID_RNA	KID	RNA	M148	1		
M135_KID_RNA	KID	RNA	M148	2		
M135_KID_RNA	KID	RNA	M148	3		
M135_KID_RNA	KID	RNA	M148	4		
M135_KID_RNA	KID	RNA	M148	5		
M135_KID_RNA	KID	RNA	M148	6		
M135_KID_RNA	KID	RNA	M148	7		
M135_KID_RNA	KID	RNA	M148	8		
M135_KID_RNA	KID	RNA	M148	9		
M135_KID_RNA	KID	RNA	M148	10		
M135_KID_RNA	KID	RNA	M148	11		
M135_KID_RNA	KID	RNA	M148	12		
M135_KID_RNA	KID	RNA	M148	13		
M135_KID_RNA	KID	RNA	M148	14		
M135_KID_RNA	KID	RNA	M148	15		
M135_KID_RNA	KID	RNA	M148	16		
M135_KID_RNA	KID	RNA	M148	18		
M135_KID_RNA	KID	RNA	M355	1		
M135_KID_RNA	KID	RNA	M355	2		
M135_KID_RNA	KID	RNA	M355	3		
M135_KID_RNA	KID	RNA	M355	4		
M135_KID_RNA	KID	RNA	M355	5		
M135_KID_RNA	KID	RNA	M355	6		
M135_KID_RNA	KID	RNA	M355	7		
M135_KID_RNA	KID	RNA	M355	8		
M135_KID_RNA	KID	RNA	M355	9		
M135_KID_RNA	KID	RNA	M355	10		
M135_KID_RNA	KID	RNA	M355	11		
M135_KID_RNA	KID	RNA	M355	12		
M135_KID_RNA	KID	RNA	M355	13		
M135_KID_RNA	KID	RNA	M355	14		
M135_KID_RNA	KID	RNA	M355	15		
M135_KID_RNA	KID	RNA	M355	16		
M135_KID_RNA	KID	RNA	M355	18		
M135_KID_RNA	LU	RNA	M135	1		
M135_KID_RNA	LU	RNA	M135	2		
M135_KID_RNA	LU	RNA	M135	3		
M135_KID_RNA	LU	RNA	M135	4		
M135_KID_RNA	LU	RNA	M135	5		
M135_KID_RNA	LU	RNA	M135	6		
M135_KID_RNA	LU	RNA	M135	7		
M135_KID_RNA	LU	RNA	M135	8		
M135_KID_RNA	LU	RNA	M135	9		
M135_KID_RNA	LU	RNA	M135	10		
M135_KID_RNA	LU	RNA	M135	11		
M135_KID_RNA	LU	RNA	M135	12		
M135_KID_RNA	LU	RNA	M135	13		
M135_KID_RNA	LU	RNA	M135	14		
M135_KID_RNA	LU	RNA	M135	15		
M135_KID_RNA	LU	RNA	M135	16		
M135_KID_RNA	LU	RNA	M135	18		
M135_KID_RNA	LU	RNA	M148	1		
M135_KID_RNA	LU	RNA	M148	2		
M135_KID_RNA	LU	RNA	M148	3		
M135_KID_RNA	LU	RNA	M148	4		
M135_KID_RNA	LU	RNA	M148	5		
M135_KID_RNA	LU	RNA	M148	6		
M135_KID_RNA	LU	RNA	M148	7		
M135_KID_RNA	LU	RNA	M148	8		
